id,origin,destination,arrival,board,alight,route,board_stop
A2-53,A2,A3,211.84909955706817,218.3543086394363,,A,A2
A2-54,A2,A3,213.1744350062951,218.39597530610297,,A,A2
A2-55,A2,A3,218.72946059031682,219.94400934141152,,A,A2
B2-62,B2,B3,215.67587431516432,222.44382130168927,,B,B2
B2-63,B2,B3,217.06498655160016,222.48548796835593,,B,B2
A3-35,A3,A3,213.36711514378123,223.9590183765914,,A,A3
A3-36,A3,A3,221.58816105999833,224.00068504325804,,A,A3
A3-37,A3,A3,222.13234865403192,224.0423517099247,,A,A3
B2-64,B2,B3,223.58111707548767,225.02584291253282,,B,B2
A1-83,A1,A3,213.86652644147443,231.61219965935615,,A,A1
A1-84,A1,A2,215.38675316762473,231.6538663260228,,A,A1
A1-85,A1,A3,219.66662317717783,231.69553299268946,,A,A1
A1-86,A1,A3,223.63743665287913,231.73719965935612,,A,A1
A1-87,A1,A3,224.739537870492,231.77886632602278,,A,A1
A1-88,A1,A2,226.14807631066392,231.82053299268944,,A,A1
A1-89,A1,A3,226.17921004385013,231.8621996593561,,A,A1
B1-98,B1,B2,222.83974116115812,233.23338379799034,,B,B1
B1-99,B1,B3,224.59900988555,233.275050464657,,B,B1
B1-100,B1,B2,230.2459861719148,233.31671713132366,,B,B1
B1-101,B1,B3,232.37597939955296,233.3583837979903,,B,B1
B2-65,B2,B3,229.4188922672321,237.20099848215466,,B,B2
A2-56,A2,A3,220.97088302808547,238.10229096496266,,A,A2
A2-57,A2,A3,226.58941497550555,238.14395763162932,,A,A2
A2-58,A2,A3,226.97231741769946,238.18562429829598,,A,A2
A2-59,A2,A3,228.51093195123963,238.22729096496263,,A,A2
B3-59,B3,B3,234.60787063074258,242.26258943857997,,B,B3
B3-60,B3,B3,236.41917215142618,242.30425610524662,,B,B3
A3-38,A3,A3,233.77457705837008,244.7160546527084,,A,A3
A3-39,A3,A3,235.50969095210107,244.75772131937507,,A,A3
A3-40,A3,A3,243.3506680332068,244.79938798604172,,A,A3
A3-41,A3,A3,243.72839848083578,244.84105465270838,,A,A3
B1-102,B1,B3,234.87405460052926,247.60422659976928,,B,B1
B1-103,B1,B3,238.36364928468694,247.64589326643593,,B,B1
B1-104,B1,B3,238.51185355080878,247.6875599331026,,B,B1
B1-105,B1,B2,240.50550684004727,247.72922659976925,,B,B1
B1-106,B1,B2,240.8167717839284,247.7708932664359,,B,B1
B1-107,B1,B3,241.2025409202837,247.81255993310256,,B,B1
B1-108,B1,B3,244.78611728798143,247.85422659976922,,B,B1
B1-109,B1,B3,245.00775195742594,247.89589326643588,,B,B1
B1-110,B1,B3,246.17984591380667,247.93755993310253,,B,B1
B1-111,B1,B3,247.33748406499495,247.9792265997692,,B,B1
A1-90,A1,A3,232.91608803517144,250.4786479167999,,A,A1
A1-91,A1,A2,234.61612993123674,250.52031458346656,,A,A1
A1-92,A1,A2,237.80562587388962,250.56198125013321,,A,A1
A1-93,A1,A3,238.07887429257624,250.60364791679987,,A,A1
A1-94,A1,A2,240.02758742564296,250.64531458346653,,A,A1
A1-95,A1,A2,246.2750693234167,250.6869812501332,,A,A1
B2-66,B2,B3,239.44539073424542,252.90922131741573,,B,B2
B2-67,B2,B3,241.3872416508697,252.95088798408239,,B,B2
B2-68,B2,B3,244.5969272500298,252.99255465074904,,B,B2
B2-69,B2,B3,244.87975641863085,253.0342213174157,,B,B2
B3-61,B3,B3,243.50476775073864,256.46431312895254,,B,B3
B3-62,B3,B3,251.34652163168673,256.5059797956192,,B,B3
B3-63,B3,B3,251.74285796667743,256.5476464622859,,B,B3
A2-60,A2,A3,240.49882148399277,256.8395427949426,,A,A2
A2-61,A2,A3,242.22758796186432,256.8812094616093,,A,A2
A2-62,A2,A3,242.65402281084585,256.92287612827596,,A,A2
A2-63,A2,A3,243.00544489752028,256.96454279494264,,A,A2
A2-64,A2,A3,247.83427878413266,257.00620946160933,,A,A2
B1-112,B1,B2,254.69289540990306,262.4245527647303,,B,B1
B1-113,B1,B2,256.0729782231655,262.466219431397,,B,B1
B1-114,B1,B2,256.36767874309515,262.5078860980637,,B,B1
B1-115,B1,B3,258.06394151652756,262.5495527647304,,B,B1
B1-116,B1,B3,258.2088175941924,262.59121943139706,,B,B1
B1-117,B1,B2,258.52504508402035,262.63288609806375,,B,B1
B1-118,B1,B2,258.837610664039,262.67455276473044,,B,B1
B1-119,B1,B2,262.2641049580302,262.7162194313971,,B,B1
A3-42,A3,A3,249.8533972464858,262.96362571150524,,A,A3
A3-43,A3,A3,256.85289339706753,263.00529237817193,,A,A3
A3-44,A3,A3,256.9099863442302,263.0469590448386,,A,A3
A3-45,A3,A3,260.07175819214484,263.0886257115053,,A,A3
B2-70,B2,B3,259.2646182921578,267.13215779934797,,B,B2
B2-71,B2,B3,262.18313088283406,267.17382446601465,,B,B2
B2-72,B2,B3,263.3046947409026,267.21549113268134,,B,B2
A1-96,A1,A2,251.06242761851004,268.56441468865586,,A,A1
A1-97,A1,A2,252.41105904599326,268.60608135532254,,A,A1
A1-98,A1,A2,254.74637449616895,268.64774802198923,,A,A1
A1-99,A1,A3,261.5127678546778,268.6894146886559,,A,A1
A1-100,A1,A3,262.85504379159283,268.7310813553226,,A,A1
A1-101,A1,A2,263.57813541368387,268.7727480219893,,A,A1
A1-102,A1,A2,263.704189695451,268.814414688656,,A,A1
A1-103,A1,A2,270.0405360644796,271.36615223284565,,A,A1
B3-64,B3,B3,258.56668769601663,272.91667740890284,,B,B3
B3-65,B3,B3,263.3283621796847,272.9583440755695,,B,B3
B3-66,B3,B3,263.38394829040726,272.9956908642596,,B,B3
A2-65,A2,A3,264.9093745425406,273.92841210221326,,A,A2
A2-66,A2,A3,267.9099475439382,273.97007876887994,,A,A2
A2-67,A2,A3,268.216593047756,274.01174543554663,,A,A2
A2-68,A2,A3,271.4450317026894,274.0534121022133,,A,A2
A2-69,A2,A3,274.40680743541355,277.1404421492718,,A,A2
B1-120,B1,B2,267.3378613034558,278.1036740252158,,B,B1
A3-46,A3,A3,276.4453592376567,279.36429914750477,,A,A3
B2-73,B2,B3,274.31426176174233,281.9825817635217,,B,B2
B2-74,B2,B3,277.62302272967963,282.0242484301884,,B,B2
B2-75,B2,B3,280.9152699730397,282.06591509685506,,B,B2
A3-47,A3,A3,279.47599801604144,283.2810366274696,,A,A3
A3-48,A3,A3,279.70855532475883,283.32270329413626,,A,A3
A3-49,A3,A3,281.3577689542526,283.36436996080295,,A,A3
A1-104,A1,A3,279.99360812521104,283.7301896034143,,A,A1
B2-76,B2,B3,282.94252084623844,284.4457209537503,,B,B2
B2-77,B2,B3,283.63720138435866,284.487387620417,,B,B2
B3-67,B3,B3,279.3045252125867,286.04527084963667,,B,B3
A2-70,A2,A3,279.16641238788065,288.25902116292616,,A,A2
A2-71,A2,A3,282.6777158351037,288.30068782959285,,A,A2
A2-72,A2,A3,283.9772095146842,288.34235449625953,,A,A2
A2-73,A2,A3,285.7210236531511,288.3840211629262,,A,A2
A2-74,A2,A3,286.04471279088386,288.4256878295929,,A,A2
B3-68,B3,B3,289.82376507387147,290.10260561702165,,B,B3
A1-105,A1,A2,286.30696763507814,290.53025297177436,,A,A1
A1-106,A1,A3,289.7294358691147,290.57191963844105,,A,A1
B1-121,B1,B3,279.7299328232709,290.68195514895285,,B,B1
B1-122,B1,B3,287.2399228379232,290.72362181561954,,B,B1
B1-123,B1,B3,289.1601189239534,290.7652884822862,,B,B1
B1-124,B1,B2,293.3623868426734,294.73601654641277,,B,B1
A3-50,A3,A3,286.1974340979475,295.076145162153,,A,A3
B2-78,B2,B3,285.71406338037235,296.8656183547804,,B,B2
B2-79,B2,B3,288.6348757337278,296.9072850214471,,B,B2
B2-80,B2,B3,289.8694734055757,296.94895168811377,,B,B2
B2-81,B2,B3,297.9304770455728,299.29290258339245,,B,B2
A1-107,A1,A3,293.0275203938256,301.0499040211703,,A,A1
B3-69,B3,B3,290.63046350160096,303.0398418009076,,B,B3
B3-70,B3,B3,298.4895294623613,303.0815084675743,,B,B3
A2-75,A2,A3,300.70455328097415,307.1512372567708,,A,A2
A1-108,A1,A3,301.575344751064,307.71966985790175,,A,A1
A1-109,A1,A3,302.04108620801964,307.76133652456843,,A,A1
A1-110,A1,A3,304.61744086577886,307.8030031912351,,A,A1
B1-125,B1,B2,296.59639685316375,307.88108657443473,,B,B1
B1-126,B1,B3,298.9724069021422,307.9227532411014,,B,B1
B1-127,B1,B3,303.9983878522595,307.9644199077681,,B,B1
B1-128,B1,B3,305.1970721016547,308.0060865744348,,B,B1
B2-82,B2,B3,299.7361520675498,313.44085962232026,,B,B2
B2-83,B2,B3,299.89039519639357,313.48252628898695,,B,B2
B2-84,B2,B3,299.9794645859486,313.52419295565363,,B,B2
B2-85,B2,B3,301.5539571245595,313.5658596223203,,B,B2
A3-51,A3,A3,307.6167619757102,314.17516914368355,,A,A3
A3-52,A3,A3,310.778839831409,314.21683581035023,,A,A3
A3-53,A3,A3,311.0689746506332,314.2585024770169,,A,A3
A2-76,A2,A3,307.3591441729585,314.3196314096801,,A,A2
B3-71,B3,B3,310.75779474212095,319.584032812166,,B,B3
B3-72,B3,B3,312.20956243371216,319.6256994788327,,B,B3
A1-111,A1,A3,314.6280367354245,320.5414032905512,,A,A1
A3-54,A3,A3,321.07110535064976,321.61974161735725,,A,A3
B1-129,B1,B2,309.8118551202388,324.08513370818537,,B,B1
B1-130,B1,B2,311.1514424610572,324.12680037485205,,B,B1
